taxon_order,category,species_code,primary_com_name,sci_name
12105,species,blclov1,Black-cheeked Lovebird,Agapornis nigrigenis
12106,spuh,lovebi1,lovebird sp.,Agapornis sp.
12107,species,grepar,Gray Parrot,Psittacus erithacus
12108,issf,grypar1,Gray Parrot (Timneh),Psittacus erithacus timneh/princeps
12111,issf,grypar2,Gray Parrot (Gray),Psittacus erithacus erithacus
12112,species,brnpar1,Brown-necked Parrot,Poicephalus fuscicollis
12113,issf,bnnpar3,Brown-necked Parrot (Brown-necked),Poicephalus fuscicollis fuscicollis
12114,issf,bnnpar4,Brown-necked Parrot (Gray-headed),Poicephalus fuscicollis suahelicus
12115,species,bnnpar2,Cape Parrot,Poicephalus robustus
12116,species,refpar5,Red-fronted Parrot,Poicephalus gulielmi
12117,issf,refpar6,Red-fronted Parrot (Guinean),Poicephalus gulielmi fantiensis
12118,issf,refpar7,Red-fronted Parrot (Red-fronted),Poicephalus gulielmi gulielmi/massaicus
12121,species,meypar1,Meyer's Parrot,Poicephalus meyeri
12128,species,ruepar1,Rüppell's Parrot,Poicephalus rueppellii
12129,species,brhpar2,Brown-headed Parrot,Poicephalus cryptoxanthus
12132,species,ninpar1,Niam-Niam Parrot,Poicephalus crassus
12133,species,rebpar1,Red-bellied Parrot,Poicephalus rufiventris
12136,species,senpar,Senegal Parrot,Poicephalus senegalus
12139,species,yefpar4,Yellow-fronted Parrot,Poicephalus flavifrons
12140,spuh,poicep1,Poicephalus sp.,Poicephalus sp.
12141,species,litpar2,Lilac-tailed Parrotlet,Touit batavicus
12142,species,scspar1,Scarlet-shouldered Parrotlet,Touit huetii
12143,species,refpar1,Red-fronted Parrotlet,Touit costaricensis
12144,species,bufpar1,Blue-fronted Parrotlet,Touit dilectissimus
12145,species,sarpar2,Sapphire-rumped Parrotlet,Touit purpuratus
12148,species,brbpar1,Brown-backed Parrotlet,Touit melanonotus
12149,species,gotpar2,Golden-tailed Parrotlet,Touit surdus
12150,species,spwpar2,Spot-winged Parrotlet,Touit stictopterus
12151,spuh,touit1,Touit sp.,Touit sp.
